item_id,prompt_hash,story_id,source,task,category,ability,answer,pred,raw,correct,n_options,condition,seed,exemplar_seed
d08aaa83a43f44ff,5bab7b8fb7f01161,ec41f7d7435b6093,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,C,[[C]],1,,groupsplit_finetuned,,
ef6ecddd00b9cc60,991f41e0dc25c099,ec41f7d7435b6093,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,A,[[A]],1,,groupsplit_finetuned,,
85cef76eb0553a4b,8e7503915f2bda1c,6bd323f7ea5c21f8,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,B,[[B]],0,,groupsplit_finetuned,,
145ec6426365be92,ef030eb8f14d2fec,6bd323f7ea5c21f8,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,B,[[B]],1,,groupsplit_finetuned,,
9b93b5b520a0e3b5,c9937e346fdd7e15,86b8df463ecab0eb,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,B,[[B]],1,,groupsplit_finetuned,,
ed8c8f112b68afaa,e373f5d92c6fd565,86b8df463ecab0eb,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,B,[[B]],1,,groupsplit_finetuned,,
4de1839083254680,85cfc348b1d590ef,50ee43c16a73f873,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,B,[[B]],1,,groupsplit_finetuned,,
e2400aabbb292ce8,e87d6701f042b81d,50ee43c16a73f873,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,A,[[A]],1,,groupsplit_finetuned,,
049559717c087189,c2c0e4d9677b2fa9,0a8c6fa01b33d728,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,C,[[C]],1,,groupsplit_finetuned,,
c9c287c4903c277a,eee5a384c13d14f9,0a8c6fa01b33d728,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,A,[[A]],1,,groupsplit_finetuned,,
d21176963b5c1f54,904cde6a53ee00e9,12485f988f159ac3,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,C,[[C]],1,,groupsplit_finetuned,,
53a05cbb2975c238,61131bb84703e597,12485f988f159ac3,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,D,B,[[B]],0,,groupsplit_finetuned,,
cde6c33b243f28e2,d5fb8c3fd25babe8,8e34fa5fe87b2209,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,C,[[C]],1,,groupsplit_finetuned,,
e9f30cbcbf83d5f1,1a83a409d240dc53,8e34fa5fe87b2209,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,A,[[A]],1,,groupsplit_finetuned,,
bdde767171fda2b2,ec8d0aa0c12fddac,6d7361b05ddcdba0,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,D,B,[[B]],0,,groupsplit_finetuned,,
12a8a27d6110abea,551d6fac894c723a,6d7361b05ddcdba0,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C,C,[[C]],1,,groupsplit_finetuned,,
265a64a0ad59ef41,68b354ffc3e1d6fd,853e3f921bb5f571,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,B,[[B]],1,,groupsplit_finetuned,,
b8e8069a884c9154,ccb69d63ea0fc3cb,853e3f921bb5f571,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,B,[[B]],1,,groupsplit_finetuned,,
54a2cd54e4e59e8e,8206397db589ff1b,426883d45b4fb3f7,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,C,[[C]],1,,groupsplit_finetuned,,
fedd6bce57fa48f5,780d2e7290660e4c,426883d45b4fb3f7,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,B,[[B]],1,,groupsplit_finetuned,,
71e3b030f028f500,d5b532b7bb756de7,cd54af08275707c4,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,B,[[B]],0,,groupsplit_finetuned,,
