item_id,prompt_hash,story_id,source,task,category,ability,answer,pred,raw,correct,n_options,condition,seed,exemplar_seed
315174352eed1dad,2de22f1709283179,3a0efd3c91f43d96,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
ba7527d7a191e8b2,0e0b8c8ed868c552,9036fbf00ff7f7e3,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,[[A]],1,,finetuned,44,
b366fc6ec6c67d72,06184cd31503482c,5e42930432469df9,OpenToM,attitude,Emotion/Attitude,Attitude,B,B,[[B]],1,,finetuned,44,
f06d2f4e0deb8976,ab5cdf6d05ba72ff,60d465fa461e97cf,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
15f142ea08c923ca,4430d00a2d7de535,9f9614318e810df5,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,[[A]],1,,finetuned,44,
db948372b561c07f,6f89a7e63a5db478,1dcff9f63346e76e,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,[[A]],1,,finetuned,44,
abf9fff9f32631f2,0fc51a7b6df31e30,78579b4b51fda7b9,OpenToM,attitude,Emotion/Attitude,Attitude,A,B,[[B]],0,,finetuned,44,
550db6108219598e,6d518309721d14ff,7534c8f04ab1a99a,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,[[A]],1,,finetuned,44,
99292c37beea7b87,5eaa5f005a018827,9dc13e980759cfd6,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
d62783c7eefd1c98,283c9e891fdfb73d,befab7d31839361a,OpenToM,attitude,Emotion/Attitude,Attitude,C,B,[[B]],0,,finetuned,44,
e821741eeaa375a7,7401868c1941c8d3,e448a19a00402cc4,OpenToM,location-cg,Belief,Location False Beliefs,A,B,[[B]],0,,finetuned,44,
90818ee08b863b27,1801116eee1efbc5,3072d3550d46b197,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
85987e60c19d0cd6,6a0573b7f0b58bb9,7fc8dc93f6ad3213,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
c208587ad0968dbe,f8d71e31dbc2c1c4,f4885422b20bd492,OpenToM,attitude,Emotion/Attitude,Attitude,C,B,[[B]],0,,finetuned,44,
6a0c30a3cbf702cb,3116742c0f822b9c,eb780969418469fa,OpenToM,location-cg,Belief,Location False Beliefs,B,A,[[A]],0,,finetuned,44,
e1b9b493bfe26c4e,0aceab5cc2763b3a,d63515436c0c234f,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
44ff4557b99ca9a9,7ceef924fab7bba9,e61d11146109c296,OpenToM,attitude,Emotion/Attitude,Attitude,B,B,[[B]],1,,finetuned,44,
59ef6b9ee0b1b2ac,fde864983cb52f1e,6e21054ca7567d82,OpenToM,attitude,Emotion/Attitude,Attitude,C,C,[[C]],1,,finetuned,44,
c61d9657b54346ed,9262df0eeec1d114,b3227209af362f56,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,[[A]],1,,finetuned,44,
52f096ae5a824e27,fcb42e8ef3c44523,2daa8e132b446ad8,OpenToM,attitude,Emotion/Attitude,Attitude,B,B,[[B]],1,,finetuned,44,
dfa11f1a1dbf4a78,1c2905ffe0826024,d73fe6db0999db91,OpenToM,attitude,Emotion/Attitude,Attitude,B,A,[[A]],0,,finetuned,44,
ec389f531d527bcf,0aed571eca063ec8,21faf8f0121f873e,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
8e23a08abd1a4440,5a298ecddaecc032,5e59b4b627867849,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
627a8342aa06ac43,9ad094fc875e8577,4db8536a651cc32c,OpenToM,attitude,Emotion/Attitude,Attitude,C,B,[[B]],0,,finetuned,44,
5fd6b21a665b0e86,a2b735890dea869e,cf8411f35aafe146,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
331576f5def8649f,5b5782371daea1a3,cdc5f70cf6088573,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,[[A]],1,,finetuned,44,
e47ae630d54cd3b5,3cfcb33aca429f87,b8aa99cc6aec6de0,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
6ef0d9f973637059,021c3e10f98c2450,b7575e54e8efbaca,OpenToM,location-cg,Belief,Location False Beliefs,B,A,[[A]],0,,finetuned,44,
fe42e1992570ca5c,1bf610fc58e2ddc5,b599b2c61e751121,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
f162219154797085,03e2a72fadf4bcdb,6d9e35045c3b823d,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
66d32f13d8feb98d,d19ccfcd51aebc13,2b04a440d3f1181f,OpenToM,location-cg,Belief,Location False Beliefs,A,B,[[B]],0,,finetuned,44,
f8014260bbd4834b,9f2b4b30ba261a8b,69b22b4d066fd475,OpenToM,attitude,Emotion/Attitude,Attitude,B,A,[[A]],0,,finetuned,44,
0902c029ed3d28a7,80c5f50fc18f22e8,402101e517dc7720,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
3b60d62851da8653,9542cc85abbab32c,1a79867b99752a63,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,finetuned,44,
