,source,task,category,ability,answer
0,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
1,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
2,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
3,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
4,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,A
5,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
6,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
7,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
8,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,B
9,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
10,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
11,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
12,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
13,ToMBench,Discrepant Desires,Desire,Desire: Discrepant desires,C
14,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
15,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
16,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,B
17,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
18,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
19,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,A
20,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,D
21,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
22,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,A
23,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,A
24,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
25,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
26,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
27,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
28,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
29,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,B
30,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
31,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
32,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
33,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,C
34,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
35,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
36,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
37,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
38,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
39,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
40,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
41,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D
42,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
43,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
44,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
45,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
46,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
47,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
48,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
49,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
50,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
51,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
52,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),C
53,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
54,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
55,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
56,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C
57,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
58,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
59,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A
60,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
61,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
62,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
63,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
64,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A
65,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
66,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,A
67,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
68,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
69,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
70,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
71,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,B
72,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
73,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
74,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
75,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
76,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),D
77,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D
78,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,A
79,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
80,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
81,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
82,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
83,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
84,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
85,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C
86,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
87,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
88,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,C
89,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
90,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
91,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
92,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
93,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
94,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
95,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
96,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
97,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
98,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
99,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
100,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
101,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
102,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
103,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
104,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
105,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
106,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
107,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D
108,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
109,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
110,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
111,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
112,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
113,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
114,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
115,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
116,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
117,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
118,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
119,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
120,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
121,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
122,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
123,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C
124,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
