item_id,prompt_hash,story_id,source,task,category,ability,answer,pred,raw,correct,n_options,marker_found,condition,seed,exemplar_seed
81b7c33c3c6b250f,27589011d12fe0ed,b512b9fc2259f77e,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D,B,[[B]],0,,True,rationale_cot_3shot,,1
11dd213c37e0cda6,a434eb4b81669fe6,d2afd3527a42b595,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D,B,"Let's reason step by step: According to the story, Xiao Ming leaves the library after seeing the sweater in the suitcase. When he returns, he knows that the sweater is in the handbag. Therefore, the correct answer is B. [[B]]",0,,True,rationale_cot_3shot,,1
96fedd77bd63bcb4,624900582648559f,de6816cf072d7953,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A,B,[[B]],0,,True,rationale_cot_3shot,,1
9b1df3e1443a60ca,29c95b08f2b4d764,5deed5c3f8260efe,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C,C,"Let's reason step by step: Based on the story, Zhang Meng received a birthday card from her cousin, indicating a positive interaction. Given that she hasn forget about her cousin, her reaction is likely to be positive. This points to option C. [[C]]",1,,True,rationale_cot_3shot,,1
ccf189ec7a98d238,8bce15a9fa51cbfb,89f608c6a17c9492,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,A,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option A. [[A]]",0,,True,rationale_cot_3shot,,1
1fdfb41adb97c31d,213036805d8dcda9,940b5a7fa3b9b3bb,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C,B,"Let's reason step by step: Analyzing the story and the given options, the most plausible reason for Lin Feng feeling violated despite winning the award is related to the integrity of his work. This points to option B. [[B]]",0,,True,rationale_cot_3shot,,1
976f55635e050166,8aa9da43e5209d9a,14749c80a473b9bb,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,B,"Let's reason step by step: In the story, Mr. Li expresses his personal preference about the sauce ribs made by Aunt Wang and his wife. However, he clarifies that he is just expressing his feelings and not taking it personally. There is no indication of any inappropriate behavior. This points to option B. [[B]]",0,,True,rationale_cot_3shot,,1
cdb8174917e00086,869c80ed9e7ae673,f278a56b25bf2ced,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B,B,"Let's reason step by step: Initially, Xiao Li says there are 80 novels, and out of these, most are prose, some are history books, and almost no science fiction novels. Since Xiao Liu finds 20 history books, we can calculate the number of prose books. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
ad8b2b6498433c3a,0a15ec1880d54f0f,51751075455ca64e,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C,C,"Let's reason step by step: Analyzing the behavior and words of Dapeng, he hesitates but still nods after receiving the task notes from Lulu. This indicates he is somewhat conflicted between wanting to help and not wanting to take on extra work. This points to option C. [[C]]",1,,True,rationale_cot_3shot,,1
bcc6f85af3b6ab86,843daaffb77eff08,d618e77854ecdcd3,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,B,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
75cc4b7e40b75572,972c119be8977236,da7d68253a774a2e,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,A,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option A. [[A]]",0,,True,rationale_cot_3shot,,1
2fc12d2dd95a5150,4c6e03429f5097b3,178930889067bcd8,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,B,"Let's reason step by step: In the story, everyone's actions and words are described as appropriate. There is no indication that anyone says something inappropriate. This points to option B. [[B]]",0,,True,rationale_cot_3shot,,1
c3d0953fabe26835,1f8d7142ae398805,59b97bc8b90581c6,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,D,C,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option C. [[C]]",0,,True,rationale_cot_3shot,,1
1883e9335d5d78ee,63e4c239f4dbe73d,36e6946e1770c0b1,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,B,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option B. [[B]]",0,,True,rationale_cot_3shot,,1
cb5bbd3085d21ca4,e3a7f5490b6dc07c,4dce08ed4ab4d34d,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,A,"Let's reason step by step: Analyzing the context, Xiaoqiu's reaction suggests curiosity rather than disappointment or happiness. This points to option A. [[A]]",1,,True,rationale_cot_3shot,,1
5d4ea84d569764f3,eaf179ea0393bb3a,0675d2446af43a9c,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,B,"Let's reason step by step: Based on the story, Manager Li does not recall Xiao Zhang's department. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
