idx,ability,base_correct,tuned_correct
0,Location False Beliefs,1,1
1,Location False Beliefs,1,1
2,Location False Beliefs,1,1
3,Location False Beliefs,0,0
4,Location False Beliefs,1,1
5,Location False Beliefs,1,1
6,Location False Beliefs,1,1
7,Location False Beliefs,1,1
8,Location False Beliefs,0,1
9,Location False Beliefs,1,1
10,Location False Beliefs,1,1
11,Location False Beliefs,1,1
12,Location False Beliefs,1,1
13,Location False Beliefs,1,0
14,Location False Beliefs,1,1
15,Location False Beliefs,1,0
16,Location False Beliefs,1,1
17,Location False Beliefs,1,1
18,Location False Beliefs,1,0
19,Location False Beliefs,0,0
20,Location False Beliefs,1,1
21,Location False Beliefs,1,1
22,Location False Beliefs,1,1
23,Location False Beliefs,1,1
24,Location False Beliefs,0,0
25,Location False Beliefs,0,0
26,Location False Beliefs,1,1
27,Location False Beliefs,1,0
28,Location False Beliefs,1,1
29,Location False Beliefs,0,0
30,Location False Beliefs,1,1
31,Location False Beliefs,0,0
32,Location False Beliefs,1,1
33,Location False Beliefs,1,1
34,Location False Beliefs,1,1
35,Location False Beliefs,1,0
36,Location False Beliefs,1,1
37,Location False Beliefs,0,1
38,Location False Beliefs,1,1
39,Location False Beliefs,1,1
40,Location False Beliefs,1,1
41,Location False Beliefs,1,1
42,Location False Beliefs,1,1
43,Location False Beliefs,0,0
44,Location False Beliefs,0,1
45,Location False Beliefs,1,1
46,Location False Beliefs,0,0
47,Location False Beliefs,1,1
48,Location False Beliefs,1,1
49,Location False Beliefs,1,1
50,Location False Beliefs,1,1
51,Location False Beliefs,0,1
52,Location False Beliefs,1,1
53,Location False Beliefs,0,1
54,Location False Beliefs,0,0
55,Location False Beliefs,0,1
56,Location False Beliefs,0,1
57,Location False Beliefs,1,1
58,Location False Beliefs,1,1
59,Location False Beliefs,0,1
60,Location False Beliefs,1,1
61,Location False Beliefs,1,1
62,Location False Beliefs,1,1
63,Location False Beliefs,0,0
64,Location False Beliefs,0,1
65,Location False Beliefs,1,1
66,Location False Beliefs,0,0
67,Location False Beliefs,1,1
68,Location False Beliefs,0,0
69,Location False Beliefs,1,0
70,Location False Beliefs,0,0
71,Location False Beliefs,1,1
72,Location False Beliefs,1,1
73,Location False Beliefs,1,0
74,Location False Beliefs,1,1
75,Location False Beliefs,1,1
76,Location False Beliefs,1,1
77,Location False Beliefs,1,1
78,Location False Beliefs,1,0
79,Location False Beliefs,1,1
80,Location False Beliefs,1,1
81,Location False Beliefs,1,1
82,Location False Beliefs,1,1
83,Location False Beliefs,1,1
84,Location False Beliefs,0,1
85,Location False Beliefs,1,0
86,Location False Beliefs,1,1
87,Location False Beliefs,1,1
88,Location False Beliefs,1,0
89,Location False Beliefs,1,0
90,Location False Beliefs,1,1
91,Location False Beliefs,1,1
92,Location False Beliefs,1,0
93,Location False Beliefs,0,1
94,Location False Beliefs,1,1
95,Location False Beliefs,1,1
96,Location False Beliefs,0,1
97,Location False Beliefs,1,1
98,Location False Beliefs,0,1
99,Location False Beliefs,1,1
100,Location False Beliefs,1,1
101,Location False Beliefs,1,1
102,Location False Beliefs,1,1
103,Location False Beliefs,0,0
104,Location False Beliefs,0,1
105,Location False Beliefs,1,1
106,Location False Beliefs,1,1
107,Location False Beliefs,1,1
108,Location False Beliefs,1,1
109,Location False Beliefs,1,1
110,Location False Beliefs,1,1
111,Location False Beliefs,1,1
112,Location False Beliefs,0,1
113,Location False Beliefs,0,0
114,Location False Beliefs,1,1
115,Location False Beliefs,1,1
116,Location False Beliefs,1,1
117,Location False Beliefs,1,1
118,Location False Beliefs,0,0
119,Location False Beliefs,1,1
120,Location False Beliefs,1,0
121,Location False Beliefs,1,1
122,Location False Beliefs,1,1
123,Location False Beliefs,0,1
124,Location False Beliefs,1,1
125,Location False Beliefs,0,1
126,Location False Beliefs,1,1
127,Location False Beliefs,0,0
128,Location False Beliefs,0,1
129,Location False Beliefs,1,1
130,Location False Beliefs,0,1
131,Location False Beliefs,0,1
132,Location False Beliefs,1,0
133,Location False Beliefs,1,1
134,Location False Beliefs,1,1
135,Location False Beliefs,1,1
136,Location False Beliefs,1,1
137,Location False Beliefs,1,1
138,Location False Beliefs,1,1
139,Location False Beliefs,1,1
140,Location False Beliefs,1,1
141,Location False Beliefs,1,1
142,Location False Beliefs,0,1
143,Location False Beliefs,1,1
144,Location False Beliefs,1,1
145,Location False Beliefs,1,0
146,Location False Beliefs,0,1
147,Location False Beliefs,1,1
148,Location False Beliefs,0,0
149,Location False Beliefs,1,1
150,Location False Beliefs,0,1
151,Location False Beliefs,1,1
152,Location False Beliefs,1,1
153,Location False Beliefs,0,1
154,Location False Beliefs,1,1
155,Location False Beliefs,0,1
156,Location False Beliefs,1,0
157,Location False Beliefs,0,1
158,Location False Beliefs,0,0
159,Location False Beliefs,1,1
160,Location False Beliefs,0,1
161,Location False Beliefs,1,1
162,Location False Beliefs,1,1
163,Location False Beliefs,1,1
164,Location False Beliefs,1,1
165,Location False Beliefs,1,1
166,Location False Beliefs,0,0
167,Location False Beliefs,1,0
168,Location False Beliefs,1,0
169,Location False Beliefs,0,1
170,Location False Beliefs,1,1
171,Location False Beliefs,1,1
172,Location False Beliefs,1,1
173,Location False Beliefs,0,1
174,Location False Beliefs,1,1
175,Location False Beliefs,1,1
176,Location False Beliefs,1,1
177,Location False Beliefs,1,1
178,Location False Beliefs,1,1
179,Location False Beliefs,1,1
180,Location False Beliefs,1,1
181,Location False Beliefs,0,1
182,Location False Beliefs,1,1
183,Location False Beliefs,0,0
184,Location False Beliefs,1,1
185,Location False Beliefs,0,1
186,Location False Beliefs,0,0
187,Location False Beliefs,0,0
188,Location False Beliefs,0,0
189,Location False Beliefs,1,1
190,Location False Beliefs,0,0
191,Location False Beliefs,0,1
192,Location False Beliefs,1,1
193,Location False Beliefs,1,1
194,Location False Beliefs,0,0
195,Location False Beliefs,1,0
196,Location False Beliefs,1,1
197,Location False Beliefs,1,1
198,Location False Beliefs,1,1
199,Location False Beliefs,0,1
200,Location False Beliefs,0,0
201,Location False Beliefs,1,0
202,Location False Beliefs,1,1
203,Location False Beliefs,0,0
204,Location False Beliefs,1,1
205,Location False Beliefs,1,1
206,Location False Beliefs,1,1
207,Location False Beliefs,1,0
