item_id,source,task,category,ability,answer,split
09e3a7bc955a77cb,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
7b7861300737bc7a,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C,train
9fba544520f13fe6,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
6dfd33220d88f3e8,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
4f10a9c8febf0e75,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,A,train
8a97dfdae91f1c47,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
dca0631edda7b23a,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,train
55db99ca8672690a,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,train
28a72d00674a6fbe,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,B,train
35b6f199924dfd66,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D,train
d08aaa83a43f44ff,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,train
88eceeffd5ecef66,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C,train
c1c0ceb914af6149,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D,train
5a368f6a645f66e1,ToMBench,Discrepant Desires,Desire,Desire: Discrepant desires,B,train
9f8ccebbd0d7bf29,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B,train
05216dc979715491,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,train
3521a6b190e93fd1,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,B,train
2f777fea909bf9bb,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
2208d5b79f582862,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A,train
b9f717ccd33c930e,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,A,train
72ce15459e8b8780,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,D,train
36ebe26ff3f72ce8,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B,train
edeefc3e1ba22512,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,B,train
78b781028dc7079a,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,A,train
6baef3e3c4f0ef03,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,train
d8d5382ce92e70b4,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
94f08983bcd4f45b,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B,train
e9b0536431173306,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A,train
aecd6f5588ce4b97,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B,train
61079cbca8062b61,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,A,train
2bc8bfa21feda80d,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,train
6f86363ba546cdb2,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
15ffcef7235a5ef3,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B,train
643bcc8053f490ff,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,A,train
d153f597ac38f6d3,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C,train
5033a4c18fa05269,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B,train
d0da0e65ce56f30c,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D,train
6e3c082ec9c7144b,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A,train
972911e3811045d7,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
e731b686062ac451,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
93bcba0c73dfe46a,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,train
d6cacf18d37baa5d,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D,train
5b4558e29225d110,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
9c3f4c0adeb50939,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
73ca7e79edfd0f96,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B,train
1b0422af2d82fb77,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B,train
4bf408440b546e01,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
bfebb56de6256872,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,train
f64f09e508ab6c22,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C,train
517a53cecb292548,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
0fa3837e841d8da7,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
5f99b406be0696da,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B,train
fe59b1c3200f79e7,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),C,train
2f9cafd444843e28,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B,train
ad5be7e36f85f449,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
07181e9c16d2187e,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B,train
82b2c4096ee0f23d,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C,train
4dfb79688ee2f0dd,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,train
a1a153c62ad81b8a,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B,train
7fdcb1acc2488b11,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A,train
06e4ef95ed4b9848,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
740d40d5e8543f25,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B,train
8824a8af9c1143b0,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,train
7c040c0624c19a77,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
f98aa6599d888be1,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A,train
38bd2533f92234de,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B,train
1e639651c5dc6d3a,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,A,train
a6214af1b41350ea,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C,train
cd5f8a811d8d3043,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
ac83a572583bdbf0,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B,train
297666e16b10cd81,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A,train
aac7f329eb0e406e,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,B,train
12d267415642609e,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C,train
e0b4ac3f29e8b380,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B,train
61f95689b0a1393e,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,train
0084cd767b876085,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A,train
1e1cc11ec8bbf856,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),B,train
cac628482697aaa1,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D,train
f220419e0f62b8a5,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,A,train
d3806147f50bdaa7,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
3ca68e29b534963c,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A,train
1b376c8e35fbd195,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A,train
04bf92919da58eec,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,train
5b5e6c94f6f36e23,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B,train
6f816a8096dd5fc7,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,train
0092ec4fbce9f8f0,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,A,train
78d8fc1bc32f9e28,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A,train
4a865cfd991fbbaa,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
