idx,ability,base_correct,tuned_correct
0,Location False Beliefs,1,1
1,Attitude,1,0
2,Attitude,1,1
3,Location False Beliefs,0,1
4,Attitude,1,1
5,Attitude,0,0
6,Attitude,0,0
7,Attitude,0,0
8,Location False Beliefs,1,1
9,Attitude,0,0
10,Location False Beliefs,0,0
11,Location False Beliefs,1,1
12,Location False Beliefs,1,1
13,Attitude,0,0
14,Location False Beliefs,1,1
15,Location False Beliefs,1,1
16,Attitude,0,1
17,Attitude,1,1
18,Attitude,1,0
19,Attitude,0,1
20,Attitude,0,0
21,Location False Beliefs,1,1
22,Location False Beliefs,1,1
23,Attitude,0,0
24,Location False Beliefs,1,1
25,Attitude,1,1
26,Location False Beliefs,1,1
27,Location False Beliefs,1,1
28,Location False Beliefs,1,1
29,Location False Beliefs,1,1
30,Location False Beliefs,0,0
31,Attitude,1,0
32,Location False Beliefs,1,1
33,Location False Beliefs,1,1
34,Attitude,0,1
35,Location False Beliefs,0,1
36,Attitude,0,0
37,Location False Beliefs,1,1
38,Location False Beliefs,1,1
39,Attitude,1,1
40,Location False Beliefs,0,0
41,Location False Beliefs,1,0
42,Location False Beliefs,1,1
43,Location False Beliefs,0,0
44,Attitude,0,0
45,Attitude,1,1
46,Location False Beliefs,1,1
47,Location False Beliefs,0,0
48,Location False Beliefs,1,1
49,Attitude,0,0
50,Location False Beliefs,1,1
51,Attitude,1,1
52,Location False Beliefs,0,0
53,Location False Beliefs,1,1
54,Location False Beliefs,1,1
55,Attitude,1,1
56,Location False Beliefs,1,1
57,Attitude,0,0
58,Location False Beliefs,1,1
59,Location False Beliefs,1,1
60,Location False Beliefs,1,1
61,Attitude,1,1
62,Location False Beliefs,1,1
63,Attitude,0,0
64,Location False Beliefs,1,1
65,Location False Beliefs,1,1
66,Location False Beliefs,1,1
67,Location False Beliefs,0,0
68,Location False Beliefs,1,1
69,Location False Beliefs,1,1
70,Location False Beliefs,1,1
71,Attitude,0,0
72,Location False Beliefs,1,1
73,Attitude,0,0
74,Attitude,0,1
75,Location False Beliefs,1,1
76,Attitude,0,0
77,Location False Beliefs,1,1
78,Attitude,0,1
79,Attitude,1,1
80,Location False Beliefs,1,1
81,Attitude,1,1
82,Location False Beliefs,1,1
83,Location False Beliefs,1,1
84,Location False Beliefs,1,1
85,Location False Beliefs,0,0
86,Location False Beliefs,0,1
87,Attitude,0,1
88,Location False Beliefs,1,1
89,Location False Beliefs,1,1
90,Attitude,0,0
91,Location False Beliefs,1,1
92,Attitude,1,1
93,Location False Beliefs,0,0
94,Location False Beliefs,1,1
95,Location False Beliefs,0,0
96,Attitude,1,1
97,Location False Beliefs,0,0
98,Location False Beliefs,1,1
99,Attitude,1,1
100,Location False Beliefs,0,0
101,Location False Beliefs,0,0
102,Location False Beliefs,1,1
103,Attitude,0,0
104,Location False Beliefs,1,1
105,Location False Beliefs,0,1
106,Attitude,0,0
107,Location False Beliefs,1,1
108,Location False Beliefs,0,0
109,Location False Beliefs,1,0
110,Attitude,0,0
111,Location False Beliefs,1,1
112,Location False Beliefs,1,1
113,Location False Beliefs,1,1
114,Location False Beliefs,1,1
115,Attitude,1,1
116,Attitude,0,0
117,Location False Beliefs,1,1
118,Location False Beliefs,1,1
119,Location False Beliefs,1,1
120,Location False Beliefs,0,0
121,Attitude,1,1
122,Attitude,1,1
123,Attitude,1,0
124,Location False Beliefs,1,1
125,Location False Beliefs,1,1
126,Location False Beliefs,1,1
127,Attitude,0,0
128,Location False Beliefs,1,1
129,Location False Beliefs,1,1
130,Location False Beliefs,1,1
131,Location False Beliefs,1,1
132,Location False Beliefs,1,1
133,Attitude,0,0
134,Attitude,0,0
135,Location False Beliefs,1,1
136,Attitude,1,1
137,Location False Beliefs,1,0
138,Location False Beliefs,1,1
139,Location False Beliefs,1,1
140,Attitude,0,0
141,Location False Beliefs,0,0
142,Location False Beliefs,1,1
143,Location False Beliefs,1,1
144,Location False Beliefs,0,0
145,Location False Beliefs,0,0
146,Location False Beliefs,0,0
147,Location False Beliefs,1,1
148,Attitude,0,0
149,Location False Beliefs,0,0
150,Location False Beliefs,1,1
151,Attitude,0,0
152,Location False Beliefs,1,1
153,Attitude,1,1
154,Attitude,0,0
155,Attitude,0,0
156,Location False Beliefs,0,0
157,Attitude,0,0
158,Location False Beliefs,1,1
159,Location False Beliefs,1,1
160,Location False Beliefs,1,1
161,Location False Beliefs,0,0
162,Attitude,0,0
163,Location False Beliefs,1,0
164,Location False Beliefs,1,1
165,Location False Beliefs,1,1
166,Location False Beliefs,1,1
167,Location False Beliefs,0,0
168,Attitude,1,1
169,Location False Beliefs,1,1
170,Attitude,0,0
171,Location False Beliefs,1,1
172,Location False Beliefs,1,0
173,Attitude,1,1
174,Location False Beliefs,1,1
175,Location False Beliefs,1,1
176,Location False Beliefs,0,0
177,Location False Beliefs,0,0
178,Location False Beliefs,1,1
179,Location False Beliefs,1,1
180,Location False Beliefs,1,1
181,Location False Beliefs,1,1
182,Location False Beliefs,1,1
183,Location False Beliefs,1,1
184,Attitude,0,1
185,Location False Beliefs,1,1
186,Attitude,1,1
187,Location False Beliefs,1,1
188,Location False Beliefs,0,0
189,Attitude,1,1
190,Location False Beliefs,0,0
191,Location False Beliefs,1,1
192,Attitude,0,1
193,Location False Beliefs,1,0
194,Attitude,0,1
195,Location False Beliefs,1,1
196,Location False Beliefs,1,1
197,Location False Beliefs,1,1
198,Location False Beliefs,1,1
199,Location False Beliefs,1,1
200,Location False Beliefs,1,1
201,Location False Beliefs,1,1
202,Location False Beliefs,0,0
203,Location False Beliefs,1,1
204,Attitude,0,0
205,Location False Beliefs,1,1
206,Location False Beliefs,1,1
207,Attitude,1,1
208,Location False Beliefs,1,1
209,Location False Beliefs,1,0
210,Location False Beliefs,1,1
211,Attitude,1,1
212,Attitude,1,1
213,Location False Beliefs,0,0
214,Location False Beliefs,1,1
215,Attitude,0,0
216,Attitude,1,1
217,Attitude,1,1
218,Location False Beliefs,0,0
219,Location False Beliefs,1,1
220,Attitude,0,0
221,Location False Beliefs,1,1
222,Location False Beliefs,0,0
223,Attitude,1,1
224,Location False Beliefs,1,1
225,Location False Beliefs,1,1
226,Attitude,0,0
227,Attitude,1,1
228,Location False Beliefs,0,0
229,Location False Beliefs,1,1
230,Location False Beliefs,1,1
231,Attitude,1,1
232,Location False Beliefs,0,0
233,Location False Beliefs,1,1
234,Location False Beliefs,1,1
235,Location False Beliefs,1,1
236,Attitude,0,0
237,Location False Beliefs,1,1
238,Location False Beliefs,1,1
239,Location False Beliefs,0,0
240,Location False Beliefs,1,1
241,Attitude,0,0
242,Location False Beliefs,1,1
243,Location False Beliefs,1,1
244,Location False Beliefs,1,1
245,Location False Beliefs,0,0
246,Location False Beliefs,1,1
247,Location False Beliefs,1,1
248,Location False Beliefs,0,0
249,Location False Beliefs,1,1
250,Location False Beliefs,1,0
251,Attitude,0,0
252,Attitude,0,0
253,Attitude,1,0
254,Attitude,1,1
255,Location False Beliefs,1,1
256,Attitude,1,1
257,Location False Beliefs,1,1
258,Location False Beliefs,1,1
259,Attitude,0,0
260,Location False Beliefs,0,0
261,Location False Beliefs,1,1
262,Attitude,1,1
263,Attitude,0,0
264,Location False Beliefs,0,0
265,Location False Beliefs,1,1
266,Attitude,0,0
267,Attitude,0,0
268,Attitude,1,1
269,Attitude,1,1
270,Location False Beliefs,1,1
271,Location False Beliefs,1,1
272,Location False Beliefs,1,1
273,Attitude,0,0
274,Attitude,0,0
275,Location False Beliefs,1,1
276,Location False Beliefs,1,1
277,Attitude,1,1
278,Location False Beliefs,1,1
279,Attitude,0,0
280,Location False Beliefs,0,0
281,Location False Beliefs,1,1
282,Location False Beliefs,1,1
283,Location False Beliefs,1,1
284,Attitude,0,0
285,Location False Beliefs,1,1
286,Location False Beliefs,1,1
287,Attitude,0,0
288,Attitude,1,0
289,Location False Beliefs,1,1
290,Location False Beliefs,0,0
291,Location False Beliefs,1,1
292,Location False Beliefs,1,1
293,Location False Beliefs,1,1
294,Location False Beliefs,0,0
295,Location False Beliefs,1,1
296,Attitude,1,1
297,Location False Beliefs,0,0
298,Location False Beliefs,1,1
299,Location False Beliefs,1,1
300,Attitude,0,0
301,Attitude,0,0
302,Location False Beliefs,1,1
303,Location False Beliefs,1,1
304,Attitude,0,0
305,Attitude,0,0
306,Attitude,0,0
307,Location False Beliefs,1,1
308,Location False Beliefs,0,0
309,Location False Beliefs,1,1
310,Attitude,0,1
311,Location False Beliefs,1,1
312,Attitude,0,0
313,Location False Beliefs,0,0
314,Location False Beliefs,1,1
315,Attitude,1,1
316,Attitude,1,1
317,Location False Beliefs,0,0
318,Location False Beliefs,0,0
319,Attitude,0,0
320,Attitude,0,0
321,Location False Beliefs,0,0
322,Location False Beliefs,0,0
323,Attitude,0,1
324,Location False Beliefs,0,0
325,Attitude,1,1
326,Attitude,0,0
327,Location False Beliefs,1,1
328,Location False Beliefs,0,0
329,Location False Beliefs,0,0
330,Attitude,1,1
331,Location False Beliefs,0,0
332,Location False Beliefs,0,0
333,Attitude,1,1
334,Location False Beliefs,1,1
335,Attitude,0,0
336,Location False Beliefs,0,0
337,Attitude,1,0
338,Location False Beliefs,0,0
339,Attitude,0,0
340,Location False Beliefs,1,1
341,Location False Beliefs,1,1
342,Location False Beliefs,1,1
343,Location False Beliefs,0,0
344,Location False Beliefs,1,1
345,Attitude,1,1
346,Attitude,1,1
347,Location False Beliefs,0,0
348,Attitude,1,1
349,Attitude,1,1
350,Location False Beliefs,1,1
351,Location False Beliefs,1,1
352,Location False Beliefs,1,1
353,Location False Beliefs,1,1
354,Attitude,1,1
355,Attitude,1,1
356,Location False Beliefs,1,1
357,Location False Beliefs,1,1
358,Location False Beliefs,1,1
359,Location False Beliefs,0,0
360,Attitude,0,0
361,Attitude,0,0
362,Location False Beliefs,1,1
363,Attitude,1,1
364,Attitude,1,0
365,Attitude,1,1
366,Location False Beliefs,1,1
367,Attitude,1,1
368,Location False Beliefs,1,1
369,Attitude,0,0
370,Location False Beliefs,1,1
371,Attitude,0,0
372,Location False Beliefs,1,1
373,Attitude,0,0
374,Location False Beliefs,1,1
375,Location False Beliefs,0,0
376,Attitude,1,0
377,Location False Beliefs,1,1
378,Attitude,0,0
379,Location False Beliefs,1,1
380,Location False Beliefs,1,1
381,Location False Beliefs,0,0
382,Location False Beliefs,1,1
383,Location False Beliefs,1,1
384,Location False Beliefs,0,0
385,Attitude,0,0
386,Attitude,0,0
387,Location False Beliefs,1,1
388,Location False Beliefs,0,0
389,Attitude,1,1
390,Location False Beliefs,1,1
391,Location False Beliefs,1,1
392,Attitude,0,0
393,Location False Beliefs,1,1
394,Location False Beliefs,1,1
395,Location False Beliefs,1,1
396,Location False Beliefs,1,1
397,Location False Beliefs,0,0
398,Attitude,1,1
399,Attitude,1,1
400,Location False Beliefs,1,1
401,Location False Beliefs,1,1
402,Location False Beliefs,1,0
403,Attitude,1,1
404,Attitude,1,1
405,Location False Beliefs,1,1
406,Attitude,0,1
407,Location False Beliefs,1,1
408,Location False Beliefs,0,0
409,Attitude,0,1
410,Location False Beliefs,1,1
