idx,ability,base_correct,tuned_correct
0,High-Order False Beliefs (order=1),1,0
1,High-Order False Beliefs (order=2),1,1
2,High-Order False Beliefs (order=3),1,0
3,High-Order False Beliefs (order=0),1,1
4,High-Order False Beliefs (order=2),1,1
5,High-Order False Beliefs (order=4),1,0
6,High-Order False Beliefs (order=0),0,0
7,High-Order False Beliefs (order=0),0,0
8,High-Order False Beliefs (order=3),1,1
9,High-Order False Beliefs (order=3),1,1
10,High-Order False Beliefs (order=3),0,1
11,High-Order False Beliefs (order=3),1,1
12,High-Order False Beliefs (order=4),1,1
13,High-Order False Beliefs (order=2),1,0
14,High-Order False Beliefs (order=3),1,1
15,High-Order False Beliefs (order=1),1,0
16,High-Order False Beliefs (order=2),1,1
17,High-Order False Beliefs (order=2),1,1
18,High-Order False Beliefs (order=0),1,1
19,High-Order False Beliefs (order=4),1,1
20,High-Order False Beliefs (order=2),0,1
21,High-Order False Beliefs (order=2),1,1
22,High-Order False Beliefs (order=0),1,1
23,High-Order False Beliefs (order=3),1,1
24,High-Order False Beliefs (order=0),1,0
25,High-Order False Beliefs (order=1),0,0
26,High-Order False Beliefs (order=3),0,1
27,High-Order False Beliefs (order=4),1,1
28,High-Order False Beliefs (order=3),1,1
29,High-Order False Beliefs (order=0),1,0
30,High-Order False Beliefs (order=2),1,1
31,High-Order False Beliefs (order=4),1,1
32,High-Order False Beliefs (order=4),0,1
33,High-Order False Beliefs (order=4),0,1
34,High-Order False Beliefs (order=3),0,0
35,High-Order False Beliefs (order=4),0,0
36,High-Order False Beliefs (order=1),0,1
37,High-Order False Beliefs (order=0),1,0
38,High-Order False Beliefs (order=2),1,1
39,High-Order False Beliefs (order=4),1,1
40,High-Order False Beliefs (order=2),0,1
41,High-Order False Beliefs (order=4),1,0
42,High-Order False Beliefs (order=2),0,0
43,High-Order False Beliefs (order=3),1,1
44,High-Order False Beliefs (order=3),0,1
45,High-Order False Beliefs (order=1),0,1
46,High-Order False Beliefs (order=0),1,1
47,High-Order False Beliefs (order=2),0,0
48,High-Order False Beliefs (order=4),1,1
49,High-Order False Beliefs (order=2),0,0
50,High-Order False Beliefs (order=4),1,1
51,High-Order False Beliefs (order=3),1,1
52,High-Order False Beliefs (order=4),1,1
53,High-Order False Beliefs (order=3),0,0
54,High-Order False Beliefs (order=4),0,0
55,High-Order False Beliefs (order=0),1,1
56,High-Order False Beliefs (order=3),0,0
57,High-Order False Beliefs (order=3),1,0
58,High-Order False Beliefs (order=1),0,0
59,High-Order False Beliefs (order=2),0,1
60,High-Order False Beliefs (order=1),1,0
61,High-Order False Beliefs (order=2),0,0
62,High-Order False Beliefs (order=1),1,1
63,High-Order False Beliefs (order=1),1,1
64,High-Order False Beliefs (order=2),1,1
65,High-Order False Beliefs (order=2),1,0
66,High-Order False Beliefs (order=2),1,1
67,High-Order False Beliefs (order=4),1,0
68,High-Order False Beliefs (order=4),1,1
69,High-Order False Beliefs (order=1),1,1
70,High-Order False Beliefs (order=2),1,1
71,High-Order False Beliefs (order=3),0,1
72,High-Order False Beliefs (order=2),0,0
73,High-Order False Beliefs (order=2),0,0
74,High-Order False Beliefs (order=3),1,1
75,High-Order False Beliefs (order=0),1,1
76,High-Order False Beliefs (order=3),0,1
77,High-Order False Beliefs (order=4),1,1
78,High-Order False Beliefs (order=2),0,0
79,High-Order False Beliefs (order=1),1,1
80,High-Order False Beliefs (order=2),1,1
81,High-Order False Beliefs (order=1),1,0
82,High-Order False Beliefs (order=1),1,1
83,High-Order False Beliefs (order=2),0,0
84,High-Order False Beliefs (order=1),1,1
85,High-Order False Beliefs (order=1),0,1
86,High-Order False Beliefs (order=0),1,1
87,High-Order False Beliefs (order=1),0,1
88,High-Order False Beliefs (order=4),0,1
89,High-Order False Beliefs (order=2),0,0
90,High-Order False Beliefs (order=4),1,1
91,High-Order False Beliefs (order=0),1,0
92,High-Order False Beliefs (order=0),1,1
93,High-Order False Beliefs (order=1),0,0
94,High-Order False Beliefs (order=3),0,0
95,High-Order False Beliefs (order=0),1,1
96,High-Order False Beliefs (order=2),0,0
97,High-Order False Beliefs (order=1),1,1
98,High-Order False Beliefs (order=4),1,1
99,High-Order False Beliefs (order=2),1,1
100,High-Order False Beliefs (order=0),0,0
101,High-Order False Beliefs (order=4),0,0
102,High-Order False Beliefs (order=4),1,1
103,High-Order False Beliefs (order=1),1,0
104,High-Order False Beliefs (order=0),0,0
105,High-Order False Beliefs (order=1),1,1
106,High-Order False Beliefs (order=4),0,0
107,High-Order False Beliefs (order=1),1,0
108,High-Order False Beliefs (order=4),0,0
109,High-Order False Beliefs (order=4),0,0
110,High-Order False Beliefs (order=2),1,0
111,High-Order False Beliefs (order=4),1,1
112,High-Order False Beliefs (order=0),1,1
113,High-Order False Beliefs (order=1),0,1
114,High-Order False Beliefs (order=1),0,0
115,High-Order False Beliefs (order=1),1,0
116,High-Order False Beliefs (order=3),1,0
117,High-Order False Beliefs (order=4),0,0
118,High-Order False Beliefs (order=0),0,1
119,High-Order False Beliefs (order=4),0,0
120,High-Order False Beliefs (order=1),0,1
121,High-Order False Beliefs (order=1),0,1
122,High-Order False Beliefs (order=0),1,1
123,High-Order False Beliefs (order=1),1,0
124,High-Order False Beliefs (order=1),1,1
125,High-Order False Beliefs (order=3),1,0
126,High-Order False Beliefs (order=1),1,0
127,High-Order False Beliefs (order=0),1,1
128,High-Order False Beliefs (order=0),1,1
129,High-Order False Beliefs (order=3),1,0
130,High-Order False Beliefs (order=4),0,0
131,High-Order False Beliefs (order=4),0,1
132,High-Order False Beliefs (order=3),0,1
133,High-Order False Beliefs (order=1),1,1
134,High-Order False Beliefs (order=0),1,1
135,High-Order False Beliefs (order=3),1,0
136,High-Order False Beliefs (order=0),0,0
137,High-Order False Beliefs (order=1),1,1
138,High-Order False Beliefs (order=1),1,0
139,High-Order False Beliefs (order=2),1,1
140,High-Order False Beliefs (order=1),1,1
141,High-Order False Beliefs (order=4),0,0
142,High-Order False Beliefs (order=0),1,1
143,High-Order False Beliefs (order=4),1,1
144,High-Order False Beliefs (order=2),1,1
145,High-Order False Beliefs (order=3),0,0
146,High-Order False Beliefs (order=4),0,0
147,High-Order False Beliefs (order=2),1,1
148,High-Order False Beliefs (order=2),0,1
149,High-Order False Beliefs (order=3),0,0
150,High-Order False Beliefs (order=3),1,1
151,High-Order False Beliefs (order=1),1,1
152,High-Order False Beliefs (order=0),1,1
153,High-Order False Beliefs (order=3),1,0
154,High-Order False Beliefs (order=1),1,1
155,High-Order False Beliefs (order=0),1,1
156,High-Order False Beliefs (order=1),1,1
157,High-Order False Beliefs (order=0),1,1
158,High-Order False Beliefs (order=3),1,1
159,High-Order False Beliefs (order=4),1,1
160,High-Order False Beliefs (order=1),1,1
161,High-Order False Beliefs (order=2),0,1
162,High-Order False Beliefs (order=0),1,1
163,High-Order False Beliefs (order=3),0,0
164,High-Order False Beliefs (order=1),1,1
165,High-Order False Beliefs (order=4),1,1
166,High-Order False Beliefs (order=2),0,0
167,High-Order False Beliefs (order=3),1,1
168,High-Order False Beliefs (order=3),1,1
169,High-Order False Beliefs (order=0),1,0
170,High-Order False Beliefs (order=2),1,1
171,High-Order False Beliefs (order=1),1,1
172,High-Order False Beliefs (order=3),0,0
173,High-Order False Beliefs (order=1),1,1
174,High-Order False Beliefs (order=3),1,1
175,High-Order False Beliefs (order=3),1,1
176,High-Order False Beliefs (order=1),0,0
177,High-Order False Beliefs (order=1),1,1
178,High-Order False Beliefs (order=2),0,0
179,High-Order False Beliefs (order=0),1,1
180,High-Order False Beliefs (order=4),1,1
181,High-Order False Beliefs (order=4),1,1
182,High-Order False Beliefs (order=0),0,0
183,High-Order False Beliefs (order=1),1,0
184,High-Order False Beliefs (order=0),0,0
185,High-Order False Beliefs (order=2),1,1
186,High-Order False Beliefs (order=2),1,1
187,High-Order False Beliefs (order=0),1,1
188,High-Order False Beliefs (order=4),1,1
189,High-Order False Beliefs (order=4),1,1
190,High-Order False Beliefs (order=4),0,0
191,High-Order False Beliefs (order=2),1,1
192,High-Order False Beliefs (order=0),1,0
193,High-Order False Beliefs (order=0),1,1
194,High-Order False Beliefs (order=1),1,1
