item_id,prompt_hash,story_id,source,task,category,ability,answer,pred,raw,correct,n_options,marker_found,condition,seed,exemplar_seed
315174352eed1dad,2de22f1709283179,3a0efd3c91f43d96,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
ba7527d7a191e8b2,0e0b8c8ed868c552,9036fbf00ff7f7e3,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,"Based on the story, Derek's reaction shows that he is not happy about Tyler's action. He quietly entered the closet to check the empty spot, indicating a negative attitude. Therefore, the answer is A. [[A]]",1,,True,rationale_cot_3shot,,1
b366fc6ec6c67d72,06184cd31503482c,5e42930432469df9,OpenToM,attitude,Emotion/Attitude,Attitude,B,B,"Let's reason step by step: I track the actions and emotions of Kai in the story. Initially, Kai is excited to enjoy the grapes. Then, he has to leave without them. Later, he sees Jasper move the grapes to the dining table, showing his consideration. This indicates a positive attitude towards Jasper's action. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
f06d2f4e0deb8976,ab5cdf6d05ba72ff,60d465fa461e97cf,OpenToM,location-cg,Belief,Location False Beliefs,B,A,[[A]],0,,True,rationale_cot_3shot,,1
15f142ea08c923ca,4430d00a2d7de535,9f9614318e810df5,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,"Based on the story, Jeffrey's reaction was described as ""Jeffrey's expression turned to slight disdain."" This indicates a negative attitude towards Ximena's action. Therefore, the correct answer is A. [[A]]",1,,True,rationale_cot_3shot,,1
db948372b561c07f,6f89a7e63a5db478,1dcff9f63346e76e,OpenToM,attitude,Emotion/Attitude,Attitude,A,C,"Let's reason step by step: Since Kyle did not know about Kason's action, he would likely have a neutral attitude towards it. This points to option C. [[C]]",0,,True,rationale_cot_3shot,,1
abf9fff9f32631f2,0fc51a7b6df31e30,78579b4b51fda7b9,OpenToM,attitude,Emotion/Attitude,Attitude,A,B,"Let's reason step by step: Given the context, Camden saw Ethan's action as a result of his mistaken belief. Since Camden had the intention to place the plum there, Ethan's action can be seen as a reaction to a misunderstanding. This implies a negative attitude towards Ethan's action. [[B]]",0,,True,rationale_cot_3shot,,1
550db6108219598e,6d518309721d14ff,7534c8f04ab1a99a,OpenToM,attitude,Emotion/Attitude,Attitude,A,C,"Let's reason step by step: Given the context, Chase is unaware of Mateo's kind gesture, and since the story doesn't provide any indication that Chase had a negative reaction to Mateo's action, we can assume his attitude is neutral. This points to option C. [[C]]",0,,True,rationale_cot_3shot,,1
99292c37beea7b87,5eaa5f005a018827,9dc13e980759cfd6,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Based on the story, Richard moved the tangerine to his own fridge. Therefore, from Richard's perspective, the tangerine is not in its initial location by the end of the story. The correct answer is B. [[B]]",1,,True,rationale_cot_3shot,,1
d62783c7eefd1c98,283c9e891fdfb73d,befab7d31839361a,OpenToM,attitude,Emotion/Attitude,Attitude,C,B,"Let's reason step by step: Given the story, Jacob's reaction was immediate and without words, showing a face wrinkled with disapproval. This indicates a negative attitude. [[B]]",0,,True,rationale_cot_3shot,,1
e821741eeaa375a7,7401868c1941c8d3,e448a19a00402cc4,OpenToM,location-cg,Belief,Location False Beliefs,A,B,[[B]],0,,True,rationale_cot_3shot,,1
90818ee08b863b27,1801116eee1efbc5,3072d3550d46b197,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Let's reason step by step: Nolan moved the underclothes to his bedroom drawer, so according to Nolan's perspective, the underclothes are not in their initial location. This points to option B. [[B]]",1,,True,rationale_cot_3shot,,1
85987e60c19d0cd6,6a0573b7f0b58bb9,7fc8dc93f6ad3213,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
c208587ad0968dbe,f8d71e31dbc2c1c4,f4885422b20bd492,OpenToM,attitude,Emotion/Attitude,Attitude,C,B,"Let's reason step by step: Given the context, Luke's reaction is likely to be negative due to Joshua's inconsiderate action. This points to option B. [[B]]",0,,True,rationale_cot_3shot,,1
6a0c30a3cbf702cb,3116742c0f822b9c,eb780969418469fa,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Based on the story, Kevin watched Maya take the sweatshirt and plan to give it to her friend. This implies the sweatshirt was moved from its initial location. Therefore, the correct answer is B. [[B]]",1,,True,rationale_cot_3shot,,1
e1b9b493bfe26c4e,0aceab5cc2763b3a,d63515436c0c234f,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
44ff4557b99ca9a9,7ceef924fab7bba9,e61d11146109c296,OpenToM,attitude,Emotion/Attitude,Attitude,B,A,"Based on the story, Anthony's reaction seems to be neutral since he was lost in his thoughts and didn't question Zoey's actions immediately. However, the closest answer among the given options is:

[[A]]",0,,True,rationale_cot_3shot,,1
59ef6b9ee0b1b2ac,fde864983cb52f1e,6e21054ca7567d82,OpenToM,attitude,Emotion/Attitude,Attitude,C,C,"Based on the story, Brooks would likely have a negative attitude towards Brantley's action. [[C]]",1,,True,rationale_cot_3shot,,1
c61d9657b54346ed,9262df0eeec1d114,b3227209af362f56,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. Evan's face remained expressionless as he watched Emerson take the tangerine away, indicating a neutral attitude. This points to option A. [[A]]",1,,True,rationale_cot_3shot,,1
52f096ae5a824e27,fcb42e8ef3c44523,2daa8e132b446ad8,OpenToM,attitude,Emotion/Attitude,Attitude,B,A,"Let's reason step by step: Based on the story, Aidan's reaction to Alexander's action is not mentioned directly, but we can infer from the context. Since Aidan left the basement without saying anything and didn't seem bothered by Alexander's action, it suggests he was not aware or did not care about it. Therefore, his attitude is neutral. [[A]]",0,,True,rationale_cot_3shot,,1
dfa11f1a1dbf4a78,1c2905ffe0826024,d73fe6db0999db91,OpenToM,attitude,Emotion/Attitude,Attitude,B,A,"Based on the story, Paul's reaction suggests he is perplexed and doesn't understand Ricardo's actions. Therefore, his attitude is closest to being negative. [[A]]",0,,True,rationale_cot_3shot,,1
ec389f531d527bcf,0aed571eca063ec8,21faf8f0121f873e,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
8e23a08abd1a4440,5a298ecddaecc032,5e59b4b627867849,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
627a8342aa06ac43,9ad094fc875e8577,4db8536a651cc32c,OpenToM,attitude,Emotion/Attitude,Attitude,C,B,"Let's reason step by step: I track Mario's reaction to Travis's action. Mario stands quietly, observing Travis's actions, his thoughts a mystery. This implies a negative attitude. [[B]]",0,,True,rationale_cot_3shot,,1
5fd6b21a665b0e86,a2b735890dea869e,cf8411f35aafe146,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Based on the story, Jayce watched Sadie move the banana and deposit it in the trash. This implies that from Jayce's perspective, the banana is not in its initial location by the end of the story. Therefore, the answer is B. [[B]]",1,,True,rationale_cot_3shot,,1
331576f5def8649f,5b5782371daea1a3,cdc5f70cf6088573,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,"Let's reason step by step: Given the context, Ella left the scene without interacting with Natalia's actions. Since Ella didn't witness or approve of Natalia's decision, her attitude would be negative. This points to option A. [[A]]",1,,True,rationale_cot_3shot,,1
e47ae630d54cd3b5,3cfcb33aca429f87,b8aa99cc6aec6de0,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Based on the story, Lucas moved the shoes to the garage shelf, so from his perspective, the shoes are not in its initial location by the end of the story. The answer is B. [[B]]",1,,True,rationale_cot_3shot,,1
6ef0d9f973637059,021c3e10f98c2450,b7575e54e8efbaca,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
fe42e1992570ca5c,1bf610fc58e2ddc5,b599b2c61e751121,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
f162219154797085,03e2a72fadf4bcdb,6d9e35045c3b823d,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Based on the story, Desmond observed Messiah moving the asparagus to the pantry. Therefore, from Desmond's perspective, the asparagus is not in its initial location by the end of the story. The answer is B. [[B]]",1,,True,rationale_cot_3shot,,1
66d32f13d8feb98d,d19ccfcd51aebc13,2b04a440d3f1181f,OpenToM,location-cg,Belief,Location False Beliefs,A,B,"Based on the story provided, we can infer that Jonah left the socks in the living room and Savannah moved them to her own drawer. Therefore, from Jonah's perspective, the socks are not in their initial location by the end of the story. The correct answer is:

[[B]]",0,,True,rationale_cot_3shot,,1
f8014260bbd4834b,9f2b4b30ba261a8b,69b22b4d066fd475,OpenToM,attitude,Emotion/Attitude,Attitude,B,A,"Let's reason step by step: I track who has access to which information in the story, then check what the relevant character would infer given only what they observed. This points to option A. [[A]]",0,,True,rationale_cot_3shot,,1
0902c029ed3d28a7,80c5f50fc18f22e8,402101e517dc7720,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
3b60d62851da8653,9542cc85abbab32c,1a79867b99752a63,OpenToM,location-cg,Belief,Location False Beliefs,B,B,"Based on the story provided, Antonio moved the suit from the study to his friend's house. Therefore, from Antonio's perspective, the suit is not in its initial location by the end of the story. The answer is B. [[B]]",1,,True,rationale_cot_3shot,,1
066aed0ead8c9035,aa2995d78e8f7a69,c7e812ba621d50b1,OpenToM,attitude,Emotion/Attitude,Attitude,A,C,"Let's reason step by step: Given the context that Kyle doesn't like trousers and he left the trousers in the bathtub, his reaction to August's action would be neutral since he was not aware of it. This points to option C. [[C]]",0,,True,rationale_cot_3shot,,1
0216aafa2b83ec54,17625c4356ea695a,71431319a2fe6399,OpenToM,location-cg,Belief,Location False Beliefs,A,B,"Based on the story provided, Alexander's perspective is that the sweatshirt is not in its initial location. It was moved by Madeline. Therefore, the correct answer is B. [[B]]",0,,True,rationale_cot_3shot,,1
8eb8d28e7d03cee9,397c725b4564ac87,e63f0256ef22dfc0,OpenToM,attitude,Emotion/Attitude,Attitude,A,A,"Let's reason step by step: Given the context, Dakota initially disapproved of belts and was not interested in having one. However, Landon's action was done with good intentions to make things easier for Dakota. Since Dakota did not share the same interest but appreciated Landon's consideration, the correct answer is neutral. [[A]]",1,,True,rationale_cot_3shot,,1
30c0b124b1248b2b,444d841db375bca2,982841c160b7e98d,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
a7b73898d2670b3a,19195a56f2ff06f2,518431d5774915a5,OpenToM,location-cg,Belief,Location False Beliefs,B,B,[[B]],1,,True,rationale_cot_3shot,,1
