item_id,prompt_hash,story_id,source,task,category,ability,answer,pred,raw,correct,n_options,condition,seed,exemplar_seed
81b7c33c3c6b250f,27589011d12fe0ed,b512b9fc2259f77e,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D,B,[[B]],0,,answer_only_3shot,,2
11dd213c37e0cda6,a434eb4b81669fe6,d2afd3527a42b595,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D,D,[[D]],1,,answer_only_3shot,,2
96fedd77bd63bcb4,624900582648559f,de6816cf072d7953,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A,C,[[C]],0,,answer_only_3shot,,2
9b1df3e1443a60ca,29c95b08f2b4d764,5deed5c3f8260efe,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C,C,[[C]],1,,answer_only_3shot,,2
ccf189ec7a98d238,8bce15a9fa51cbfb,89f608c6a17c9492,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,A,[[A]],0,,answer_only_3shot,,2
1fdfb41adb97c31d,213036805d8dcda9,940b5a7fa3b9b3bb,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C,C,[[C]],1,,answer_only_3shot,,2
976f55635e050166,8aa9da43e5209d9a,14749c80a473b9bb,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,A,[[A]],1,,answer_only_3shot,,2
cdb8174917e00086,869c80ed9e7ae673,f278a56b25bf2ced,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B,C,[[C]],0,,answer_only_3shot,,2
ad8b2b6498433c3a,0a15ec1880d54f0f,51751075455ca64e,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C,C,[[C]],1,,answer_only_3shot,,2
bcc6f85af3b6ab86,843daaffb77eff08,d618e77854ecdcd3,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,A,[[A]],0,,answer_only_3shot,,2
75cc4b7e40b75572,972c119be8977236,da7d68253a774a2e,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,A,[[A]],0,,answer_only_3shot,,2
2fc12d2dd95a5150,4c6e03429f5097b3,178930889067bcd8,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,B,[[B]],0,,answer_only_3shot,,2
c3d0953fabe26835,1f8d7142ae398805,59b97bc8b90581c6,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,D,C,[[C]],0,,answer_only_3shot,,2
1883e9335d5d78ee,63e4c239f4dbe73d,36e6946e1770c0b1,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,B,[[B]],0,,answer_only_3shot,,2
cb5bbd3085d21ca4,e3a7f5490b6dc07c,4dce08ed4ab4d34d,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,A,[[A]],1,,answer_only_3shot,,2
