idx,ability,base_correct,tuned_correct
0,Mixed,1,1
1,Mixed,0,0
2,Mixed,0,1
3,Mixed,1,1
4,Mixed,1,1
5,Mixed,1,1
6,Mixed,0,0
7,Mixed,1,0
8,Mixed,0,1
9,Mixed,0,0
10,Mixed,0,1
11,Mixed,0,0
12,Mixed,0,0
13,Mixed,1,1
14,Mixed,0,0
15,Mixed,1,0
16,Mixed,1,1
17,Mixed,1,1
18,Mixed,1,1
19,Mixed,1,1
20,Mixed,0,0
21,Mixed,1,1
22,Mixed,1,1
23,Mixed,1,1
24,Mixed,1,0
25,Mixed,1,1
26,Mixed,1,1
27,Mixed,1,1
28,Mixed,0,0
29,Mixed,1,1
30,Mixed,1,0
31,Mixed,1,0
32,Mixed,0,0
33,Mixed,1,1
34,Mixed,1,1
35,Mixed,1,1
36,Mixed,1,0
37,Mixed,1,1
38,Mixed,1,0
39,Mixed,0,1
40,Mixed,1,0
41,Mixed,1,1
42,Mixed,1,0
43,Mixed,1,1
44,Mixed,0,0
45,Mixed,1,1
46,Mixed,0,0
47,Mixed,0,1
48,Mixed,0,0
49,Mixed,1,1
50,Mixed,1,1
51,Mixed,1,0
52,Mixed,0,0
53,Mixed,0,0
54,Mixed,0,0
55,Mixed,1,1
56,Mixed,1,1
57,Mixed,0,1
58,Mixed,0,0
59,Mixed,1,1
60,Mixed,0,0
61,Mixed,1,1
62,Mixed,1,1
63,Mixed,1,0
64,Mixed,1,1
65,Mixed,1,1
66,Mixed,1,0
67,Mixed,1,1
68,Mixed,1,1
69,Mixed,1,0
70,Mixed,1,1
71,Mixed,1,1
72,Mixed,1,1
73,Mixed,0,1
74,Mixed,1,1
75,Mixed,1,1
76,Mixed,1,1
77,Mixed,0,0
78,Mixed,1,1
79,Mixed,1,1
80,Mixed,1,1
81,Mixed,1,1
82,Mixed,1,0
83,Mixed,0,1
84,Mixed,1,1
85,Mixed,1,1
86,Mixed,0,0
87,Mixed,0,0
88,Mixed,1,1
89,Mixed,1,0
90,Mixed,1,1
91,Mixed,1,1
92,Mixed,1,1
93,Mixed,0,0
94,Mixed,1,1
95,Mixed,1,1
96,Mixed,0,1
97,Mixed,1,1
98,Mixed,1,1
99,Mixed,1,1
100,Mixed,1,0
101,Mixed,0,0
102,Mixed,1,1
103,Mixed,0,0
104,Mixed,0,0
105,Mixed,0,0
106,Mixed,0,1
107,Mixed,0,1
108,Mixed,1,1
109,Mixed,1,0
110,Mixed,0,0
111,Mixed,1,0
112,Mixed,0,0
113,Mixed,1,1
114,Mixed,0,0
115,Mixed,1,1
116,Mixed,1,1
117,Mixed,0,0
118,Mixed,1,1
119,Mixed,0,0
120,Mixed,0,0
121,Mixed,1,0
122,Mixed,0,0
123,Mixed,0,1
124,Mixed,1,0
125,Mixed,1,1
126,Mixed,1,1
127,Mixed,1,0
128,Mixed,1,1
129,Mixed,0,0
130,Mixed,1,1
131,Mixed,0,0
132,Mixed,1,1
133,Mixed,0,1
134,Mixed,1,0
135,Mixed,1,1
136,Mixed,1,1
137,Mixed,0,0
138,Mixed,0,0
139,Mixed,0,1
140,Mixed,1,1
141,Mixed,1,1
142,Mixed,1,1
143,Mixed,0,0
144,Mixed,0,0
145,Mixed,1,0
146,Mixed,0,1
147,Mixed,0,1
148,Mixed,1,1
149,Mixed,0,0
150,Mixed,1,1
151,Mixed,0,0
152,Mixed,0,0
153,Mixed,1,0
154,Mixed,1,1
155,Mixed,0,0
156,Mixed,1,1
157,Mixed,0,0
158,Mixed,1,1
159,Mixed,1,0
160,Mixed,1,1
161,Mixed,1,0
162,Mixed,1,1
163,Mixed,1,1
164,Mixed,1,1
165,Mixed,0,0
166,Mixed,1,0
167,Mixed,1,1
168,Mixed,1,1
169,Mixed,0,0
170,Mixed,1,1
171,Mixed,1,1
172,Mixed,1,1
173,Mixed,0,1
174,Mixed,0,0
175,Mixed,1,1
176,Mixed,1,1
177,Mixed,1,1
178,Mixed,1,1
179,Mixed,1,1
180,Mixed,1,0
181,Mixed,0,0
182,Mixed,1,1
183,Mixed,1,1
184,Mixed,0,0
185,Mixed,1,1
186,Mixed,1,1
187,Mixed,1,1
188,Mixed,1,1
189,Mixed,1,1
190,Mixed,1,1
191,Mixed,0,0
192,Mixed,1,1
193,Mixed,1,1
194,Mixed,1,0
195,Mixed,1,1
196,Mixed,0,0
197,Mixed,1,1
198,Mixed,1,1
199,Mixed,1,1
200,Mixed,0,0
201,Mixed,1,1
202,Mixed,0,0
203,Mixed,0,1
204,Mixed,1,1
205,Mixed,1,0
206,Mixed,1,1
207,Mixed,1,1
208,Mixed,1,0
209,Mixed,1,1
210,Mixed,1,1
211,Mixed,1,1
212,Mixed,1,1
213,Mixed,1,0
214,Mixed,1,1
215,Mixed,0,0
216,Mixed,1,1
217,Mixed,0,0
218,Mixed,0,0
219,Mixed,1,1
220,Mixed,0,1
221,Mixed,1,1
222,Mixed,1,1
223,Mixed,0,0
224,Mixed,1,1
225,Mixed,1,0
226,Mixed,1,1
227,Mixed,0,0
228,Mixed,0,0
229,Mixed,0,0
230,Mixed,1,0
231,Mixed,1,0
232,Mixed,1,0
233,Mixed,1,1
234,Mixed,0,0
235,Mixed,1,0
236,Mixed,0,0
237,Mixed,1,1
238,Mixed,1,1
239,Mixed,1,0
240,Mixed,1,1
241,Mixed,1,1
242,Mixed,0,0
243,Mixed,1,1
244,Mixed,1,1
245,Mixed,1,1
246,Mixed,0,1
247,Mixed,0,0
248,Mixed,0,0
249,Mixed,0,0
250,Mixed,1,1
251,Mixed,1,1
252,Mixed,1,1
253,Mixed,1,1
254,Mixed,1,1
255,Mixed,1,0
256,Mixed,0,1
257,Mixed,1,1
258,Mixed,1,1
259,Mixed,1,0
260,Mixed,1,1
261,Mixed,1,1
262,Mixed,1,0
263,Mixed,1,1
264,Mixed,0,1
265,Mixed,1,1
266,Mixed,1,1
267,Mixed,0,1
268,Mixed,0,0
269,Mixed,1,0
270,Mixed,0,0
271,Mixed,1,1
272,Mixed,1,0
273,Mixed,1,1
274,Mixed,1,1
275,Mixed,0,0
276,Mixed,1,1
277,Mixed,1,1
278,Mixed,1,1
279,Mixed,0,0
280,Mixed,0,0
281,Mixed,0,0
282,Mixed,1,0
283,Mixed,1,1
284,Mixed,1,1
285,Mixed,1,1
286,Mixed,1,1
287,Mixed,0,0
288,Mixed,1,1
289,Mixed,1,1
290,Mixed,1,1
291,Mixed,1,1
292,Mixed,1,1
293,Mixed,0,0
294,Mixed,0,1
295,Mixed,0,0
296,Mixed,1,1
297,Mixed,0,1
298,Mixed,1,1
299,Mixed,1,0
300,Mixed,0,0
301,Mixed,0,0
302,Mixed,0,0
303,Mixed,1,1
304,Mixed,0,0
305,Mixed,1,1
306,Mixed,0,0
307,Mixed,1,1
308,Mixed,1,1
309,Mixed,1,1
310,Mixed,1,1
311,Mixed,1,1
312,Mixed,1,0
313,Mixed,1,1
314,Mixed,1,0
315,Mixed,0,1
316,Mixed,1,1
317,Mixed,1,1
318,Mixed,1,1
319,Mixed,1,1
320,Mixed,0,1
321,Mixed,0,0
322,Mixed,1,1
323,Mixed,0,0
324,Mixed,1,1
325,Mixed,0,1
326,Mixed,1,1
327,Mixed,0,0
328,Mixed,0,0
329,Mixed,0,0
330,Mixed,1,1
331,Mixed,1,1
332,Mixed,1,1
333,Mixed,1,1
334,Mixed,1,1
335,Mixed,1,0
336,Mixed,0,1
337,Mixed,1,0
338,Mixed,0,0
339,Mixed,1,0
340,Mixed,0,0
341,Mixed,1,1
342,Mixed,1,1
343,Mixed,1,1
344,Mixed,1,1
345,Mixed,0,1
346,Mixed,1,1
347,Mixed,1,1
348,Mixed,1,1
349,Mixed,1,1
350,Mixed,1,1
351,Mixed,0,0
352,Mixed,1,1
353,Mixed,1,1
354,Mixed,0,0
355,Mixed,1,1
356,Mixed,1,1
357,Mixed,1,0
358,Mixed,1,0
359,Mixed,0,1
360,Mixed,1,0
361,Mixed,0,1
362,Mixed,1,0
363,Mixed,1,0
364,Mixed,1,0
365,Mixed,0,1
366,Mixed,1,1
367,Mixed,1,1
368,Mixed,1,1
369,Mixed,1,1
370,Mixed,1,0
371,Mixed,1,0
372,Mixed,1,1
373,Mixed,1,1
374,Mixed,1,1
375,Mixed,0,0
376,Mixed,1,1
377,Mixed,1,1
378,Mixed,1,1
379,Mixed,1,1
380,Mixed,1,1
381,Mixed,1,1
382,Mixed,1,0
383,Mixed,1,1
384,Mixed,1,0
385,Mixed,0,0
386,Mixed,0,0
387,Mixed,1,1
388,Mixed,1,1
389,Mixed,0,0
390,Mixed,0,1
391,Mixed,1,1
392,Mixed,1,1
393,Mixed,1,1
394,Mixed,1,0
395,Mixed,1,1
396,Mixed,1,1
397,Mixed,1,1
398,Mixed,1,1
399,Mixed,1,0
400,Mixed,1,1
401,Mixed,1,1
402,Mixed,1,1
403,Mixed,0,1
404,Mixed,1,1
405,Mixed,1,1
406,Mixed,1,1
407,Mixed,1,1
408,Mixed,1,1
409,Mixed,1,0
410,Mixed,1,1
411,Mixed,1,1
412,Mixed,1,1
413,Mixed,1,1
414,Mixed,1,1
415,Mixed,1,0
416,Mixed,1,1
417,Mixed,1,1
418,Mixed,1,1
419,Mixed,1,0
420,Mixed,0,0
421,Mixed,0,0
422,Mixed,0,0
423,Mixed,0,0
424,Mixed,0,0
425,Mixed,1,1
426,Mixed,0,0
427,Mixed,1,1
428,Mixed,1,1
429,Mixed,1,1
430,Mixed,1,0
431,Mixed,0,0
432,Mixed,1,0
433,Mixed,1,1
434,Mixed,0,0
435,Mixed,1,1
436,Mixed,1,1
437,Mixed,0,0
438,Mixed,1,1
439,Mixed,0,1
440,Mixed,1,1
441,Mixed,1,1
442,Mixed,1,0
443,Mixed,0,0
444,Mixed,1,1
445,Mixed,1,1
446,Mixed,1,0
447,Mixed,1,1
448,Mixed,0,1
449,Mixed,1,1
450,Mixed,0,0
451,Mixed,1,1
452,Mixed,0,0
453,Mixed,1,1
454,Mixed,1,1
455,Mixed,0,0
456,Mixed,0,0
457,Mixed,1,1
458,Mixed,1,1
459,Mixed,1,1
460,Mixed,1,1
461,Mixed,0,0
462,Mixed,1,1
463,Mixed,1,1
464,Mixed,1,1
465,Mixed,1,1
466,Mixed,0,1
467,Mixed,0,1
468,Mixed,0,0
469,Mixed,1,0
470,Mixed,1,1
471,Mixed,1,1
472,Mixed,0,0
473,Mixed,1,1
474,Mixed,1,1
475,Mixed,1,1
476,Mixed,1,1
477,Mixed,0,0
478,Mixed,1,1
479,Mixed,1,1
480,Mixed,1,1
481,Mixed,1,1
482,Mixed,1,1
483,Mixed,1,1
484,Mixed,0,0
485,Mixed,0,0
486,Mixed,0,0
487,Mixed,0,0
488,Mixed,1,1
489,Mixed,1,0
490,Mixed,1,1
491,Mixed,1,1
492,Mixed,0,0
493,Mixed,0,1
494,Mixed,1,1
495,Mixed,1,1
496,Mixed,0,0
497,Mixed,0,1
498,Mixed,0,0
499,Mixed,0,0
500,Mixed,1,1
501,Mixed,1,0
502,Mixed,1,0
503,Mixed,0,0
504,Mixed,1,0
505,Mixed,1,1
506,Mixed,0,1
507,Mixed,0,0
508,Mixed,1,1
509,Mixed,1,0
510,Mixed,1,1
511,Mixed,1,1
512,Mixed,1,1
513,Mixed,0,1
