idx,ability,base_correct,tuned_correct
0,Belief: Content false beliefs,1,0
1,Knowledge: Percepts-knowledge links,1,1
2,Intention: Intentions explanations,0,0
3,Emotion: Typical emotional reactions,1,1
4,Non-Literal Communication: Faux pas,0,0
5,Belief: Sequence false beliefs,0,1
6,Non-Literal Communication: Faux pas,0,1
7,Knowledge: Information-knowledge links,1,1
8,Belief: Beliefs based action/emotions,1,1
9,Non-Literal Communication: Faux pas,0,1
10,Belief: Sequence false beliefs,0,0
11,Non-Literal Communication: Faux pas,0,1
12,Emotion: Emotion regulation,0,0
13,Non-Literal Communication: Faux pas,0,0
14,Belief: Beliefs based action/emotions,1,1
15,Non-Literal Communication: Faux pas,1,1
16,Knowledge: Information-knowledge links,0,0
17,Belief: Content false beliefs,0,1
18,Belief: Content false beliefs,0,1
19,Non-Literal Communication: Faux pas,0,0
20,Non-Literal Communication: Faux pas,0,1
21,Knowledge: Information-knowledge links,1,1
22,Intention: Discrepant intentions,1,0
23,Belief: Location false beliefs,1,1
24,Knowledge: Information-knowledge links,1,1
25,Intention: Intentions explanations,1,1
26,Emotion: Atypical emotional reactions,0,0
27,Desire: Desire-action contradiction,0,0
28,Emotion: Discrepant emotions,0,0
29,Desire: Desires influence on actions,0,1
30,Emotion: Atypical emotional reactions,1,0
31,Non-Literal Communication: Faux pas,1,1
32,Non-Literal Communication: Faux pas,1,1
33,Desire: Multiple desires,0,1
34,Non-Literal Communication: Faux pas,0,1
35,Emotion: Moral emotions,1,1
36,Emotion: Atypical emotional reactions,0,0
37,Non-Literal Communication: Faux pas,0,1
38,Desire: Multiple desires,1,1
39,Non-Literal communication: Humor,1,1
40,Non-Literal communication: Humor,1,1
41,Knowledge: Information-knowledge links,0,0
42,Emotion: Hidden emotions,0,0
43,Intention: Intentions explanations,1,1
44,Emotion: Hidden emotions,1,1
45,Belief: Location false beliefs Belief: Second-order beliefs,1,1
46,Intention: Intentions explanations,0,0
47,Non-Literal Communication: Faux pas,1,1
48,Knowledge: Information-knowledge links,0,1
49,Intention: Prediction of actions,0,1
50,Belief: Content false beliefs,0,1
51,Intention: Discrepant intentions,1,1
52,Intention: Intentions explanations,1,1
53,Emotion: Atypical emotional reactions,1,0
54,Knowledge: Knowledge-attention links,1,0
55,Non-Literal Communication: Irony/Sarcasm,0,1
56,Belief: Content false beliefs,1,1
57,Belief: Location false beliefs Belief: Second-order beliefs,1,1
58,Non-Literal Communication: Faux pas,0,0
59,Belief: Content false beliefs,1,0
60,Belief: Content false beliefs,0,1
61,Emotion: Discrepant emotions,0,0
62,Belief: Location false beliefs,1,1
63,Belief: Beliefs based action/emotions,1,1
64,Non-Literal Communication: Faux pas,1,1
65,Intention: Intentions explanations,0,1
66,Knowledge: Information-knowledge links,0,0
