source,task,category,ability,answer,pred,raw,correct
HiToM,high-order,Belief,High-Order False Beliefs (order=1),C,C,[[C]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=2),D,D,[[D]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=3),E,E,E[[E]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=0),D,D,[[D]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=2),C,C,[[C]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=4),A,A,[[A]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=0),B,A,[[A]],0
HiToM,high-order,Belief,High-Order False Beliefs (order=0),E,A,[[A]],0
HiToM,high-order,Belief,High-Order False Beliefs (order=3),D,D,[[D]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=3),B,B,[[B]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=3),D,C,[[C]],0
HiToM,high-order,Belief,High-Order False Beliefs (order=3),B,B,[[B]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=4),B,B,[[B]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=2),E,E,[[E]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=3),A,A,[[A]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=1),D,D,[[D]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=2),B,B,[[B]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=2),A,A,[[A]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=0),D,D,D[[D]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=4),B,B,B[[B]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=2),D,C,[[C]],0
HiToM,high-order,Belief,High-Order False Beliefs (order=2),B,B,[B],1
HiToM,high-order,Belief,High-Order False Beliefs (order=0),C,C,[[C]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=3),B,B,[[B]],1
HiToM,high-order,Belief,High-Order False Beliefs (order=0),B,B,[[B]],1
